                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49435,                 1.9005,                 1.0304,                0.83109,                0.87541,                0.89684,                0.83798,                0.37207,                 1.1923,                0.93805,             0.00013778,             0.00013778,             0.00013778
                      2,                0.48791,                  1.393,                 1.0197,                0.91946,                0.91664,                0.96835,                0.88803,                0.38811,                 1.0169,                0.96023,             0.00026765,             0.00026765,             0.00026765
                      3,                0.51049,                 1.1626,                 1.0138,                0.91144,                0.91434,                0.95074,                0.86353,                0.42293,                0.94248,                0.99314,             0.00038834,             0.00038834,             0.00038834
                      4,                0.50033,                  1.021,                 1.0068,                0.89249,                0.94167,                0.96824,                0.87325,                0.46406,                0.92939,                 1.0081,             0.00037572,             0.00037572,             0.00037572
                      5,                0.48539,                 0.8993,                 0.9881,                0.92259,                0.95787,                 0.9816,                0.90768,                0.37944,                0.69549,                0.93147,             0.00037572,             0.00037572,             0.00037572
                      6,                0.46867,                0.83864,                0.98537,                0.97642,                0.95099,                0.99029,                0.92849,                0.35299,                0.64626,                0.91666,             0.00036196,             0.00036196,             0.00036196
                      7,                0.44905,                0.75194,                 0.9649,                0.95227,                0.97318,                0.98841,                0.91954,                0.36942,                0.56552,                0.92389,              0.0003482,              0.0003482,              0.0003482
                      8,                0.44653,                0.72998,                0.96705,                0.95766,                0.95716,                0.98006,                0.92372,                0.35728,                0.59623,                0.91726,             0.00033443,             0.00033443,             0.00033443
                      9,                0.43139,                0.67076,                0.96481,                  0.969,                0.98079,                0.99207,                0.94176,                0.32538,                 0.4383,                0.89659,             0.00032067,             0.00032067,             0.00032067
                     10,                0.42922,                0.64961,                 0.9642,                0.96678,                0.98282,                0.99071,                0.94036,                0.32521,                0.42063,                0.89019,             0.00030691,             0.00030691,             0.00030691
                     11,                0.40512,                 0.5999,                 0.9513,                0.96535,                0.97397,                 0.9914,                0.94092,                0.30747,                0.40081,                0.89062,             0.00029315,             0.00029315,             0.00029315
                     12,                0.39963,                0.56737,                0.94742,                0.95927,                0.98573,                0.99196,                0.95274,                0.28819,                 0.3627,                0.86455,             0.00027939,             0.00027939,             0.00027939
                     13,                0.39022,                0.55351,                0.94574,                0.97028,                0.98553,                0.99303,                0.95083,                0.31016,                0.37763,                0.90109,             0.00026563,             0.00026563,             0.00026563
                     14,                0.39825,                0.53466,                0.95577,                0.98722,                0.97936,                0.99397,                0.95457,                0.28749,                0.34274,                0.86958,             0.00025187,             0.00025187,             0.00025187
                     15,                0.39198,                0.53082,                0.95007,                0.98104,                0.97889,                0.99362,                0.95733,                0.27682,                0.33667,                0.86342,             0.00023811,             0.00023811,             0.00023811
                     16,                0.37569,                0.49016,                0.94052,                0.97783,                0.98828,                0.99372,                0.95874,                0.28059,                 0.3275,                0.86386,             0.00022435,             0.00022435,             0.00022435
                     17,                0.36787,                0.49581,                0.93623,                0.98456,                0.98806,                0.99416,                0.96069,                0.26903,                0.30317,                0.85164,             0.00021059,             0.00021059,             0.00021059
                     18,                0.36267,                0.46635,                0.93375,                0.98434,                0.98508,                0.99315,                0.95776,                0.26476,                0.30608,                0.85357,             0.00019682,             0.00019682,             0.00019682
                     19,                0.36062,                0.45578,                0.92529,                0.97457,                0.98987,                0.99319,                0.96085,                0.26159,                0.29853,                0.84824,             0.00018306,             0.00018306,             0.00018306
                     20,                0.35224,                0.43917,                0.93346,                0.98003,                0.98686,                0.99358,                0.96332,                0.25133,                0.27901,                0.84348,              0.0001693,              0.0001693,              0.0001693
                     21,                0.25426,                0.42897,                0.86901,                0.97999,                0.97507,                0.99181,                 0.9606,                0.25407,                 0.2868,                0.83902,             0.00015554,             0.00015554,             0.00015554
                     22,                0.24228,                0.40294,                0.85781,                0.97777,                0.98736,                0.99277,                0.96305,                0.25117,                0.27406,                0.84221,             0.00014178,             0.00014178,             0.00014178
                     23,                0.23251,                0.38394,                0.85012,                0.98755,                0.98133,                  0.994,                0.96495,                0.24601,                0.25617,                0.83662,             0.00012802,             0.00012802,             0.00012802
                     24,                0.22829,                0.36134,                0.84456,                0.98227,                0.98981,                0.99448,                0.96743,                0.23931,                0.26196,                0.83577,             0.00011426,             0.00011426,             0.00011426
                     25,                 0.2213,                0.35201,                0.84942,                0.98485,                0.99009,                0.99385,                0.96788,                0.22769,                0.24242,                0.82736,              0.0001005,              0.0001005,              0.0001005
                     26,                0.20756,                 0.3255,                0.83991,                0.98836,                0.99031,                0.99391,                0.97097,                0.21414,                0.23211,                0.81817,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     27,                0.20123,                0.32436,                0.83367,                0.98917,                0.98067,                0.99443,                0.97269,                0.21467,                0.21941,                0.81877,             7.2975e-05,             7.2975e-05,             7.2975e-05
                     28,                0.19912,                0.31386,                0.83501,                0.97873,                0.98998,                0.99356,                0.97228,                0.20972,                0.21996,                0.81618,             5.9214e-05,             5.9214e-05,             5.9214e-05
                     29,                0.19274,                0.30993,                0.83492,                0.98572,                  0.986,                0.99416,                0.97559,                0.20053,                0.21023,                0.81019,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     30,                0.18482,                0.29857,                0.82594,                0.98479,                0.98485,                0.99408,                0.97684,                  0.194,                 0.2046,                0.80787,             3.1692e-05,             3.1692e-05,             3.1692e-05
