                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38256,                0.58525,                0.94094,                0.96301,                 0.9705,                0.99112,                0.92996,                0.32555,                0.40916,                0.89152,             0.00013778,             0.00013778,             0.00013778
                      2,                0.41459,                0.53895,                0.95746,                0.95895,                0.96425,                0.98923,                0.91768,                0.37344,                0.39685,                0.93269,             0.00026765,             0.00026765,             0.00026765
                      3,                0.47563,                0.64181,                0.98809,                0.91959,                0.95402,                 0.9823,                0.91208,                0.37018,                 0.4506,                0.92176,             0.00038834,             0.00038834,             0.00038834
                      4,                0.48263,                0.57752,                0.99297,                0.92281,                0.94935,                0.97581,                0.89574,                0.38102,                0.45244,                0.93787,             0.00037572,             0.00037572,             0.00037572
                      5,                0.47364,                0.56535,                0.98412,                 0.9517,                0.96217,                0.99155,                0.91864,                0.37991,                0.38793,                 0.9407,             0.00037572,             0.00037572,             0.00037572
                      6,                0.44941,                0.49297,                  0.974,                0.92786,                0.96863,                0.98407,                0.92091,                0.37042,                0.38715,                0.92421,             0.00036196,             0.00036196,             0.00036196
                      7,                0.43421,                0.45273,                0.95473,                0.93046,                0.98042,                0.98411,                0.92883,                0.34175,                0.34875,                0.91075,              0.0003482,              0.0003482,              0.0003482
                      8,                0.43657,                0.44746,                 0.9594,                0.96549,                0.97111,                0.99079,                 0.9293,                0.34841,                0.34669,                0.91707,             0.00033443,             0.00033443,             0.00033443
                      9,                0.42018,                0.42765,                0.95533,                0.92663,                0.95412,                  0.984,                0.91405,                0.37696,                0.40686,                 0.9595,             0.00032067,             0.00032067,             0.00032067
                     10,                0.42049,                0.41753,                0.96126,                0.97105,                0.98024,                0.99346,                0.94037,                 0.3253,                0.29228,                0.89663,             0.00030691,             0.00030691,             0.00030691
                     11,                0.39526,                0.38251,                0.94702,                0.96618,                0.98106,                0.99354,                0.95594,                0.29191,                0.26732,                0.87696,             0.00029315,             0.00029315,             0.00029315
                     12,                0.39005,                0.37193,                0.94388,                0.98418,                0.97387,                0.99367,                0.95357,                0.29385,                0.25667,                 0.8709,             0.00027939,             0.00027939,             0.00027939
                     13,                 0.3742,                0.36437,                0.93739,                0.94971,                0.94272,                0.98897,                0.94754,                0.31988,                0.34931,                0.89766,             0.00026563,             0.00026563,             0.00026563
                     14,                0.38358,                0.34931,                0.95074,                0.97559,                0.97946,                0.99344,                0.96101,                 0.2788,                0.24443,                 0.8608,             0.00025187,             0.00025187,             0.00025187
                     15,                0.37843,                0.35566,                0.94326,                0.97836,                 0.9733,                0.99329,                0.96214,                0.28708,                0.25362,                  0.872,             0.00023811,             0.00023811,             0.00023811
                     16,                 0.3576,                0.32382,                0.93464,                0.98133,                0.97346,                0.99385,                0.96499,                0.25925,                0.22351,                0.85036,             0.00022435,             0.00022435,             0.00022435
                     17,                0.35073,                0.32497,                0.93117,                0.98193,                0.98079,                0.99439,                  0.969,                  0.259,                0.22861,                0.84554,             0.00021059,             0.00021059,             0.00021059
                     18,                0.35167,                0.32345,                0.93133,                0.97712,                0.99134,                0.99251,                0.96537,                0.26687,                 0.2286,                0.85535,             0.00019682,             0.00019682,             0.00019682
                     19,                0.34162,                0.31012,                0.92218,                0.97825,                0.98478,                0.99303,                0.96612,                0.24757,                 0.2241,                0.84856,             0.00018306,             0.00018306,             0.00018306
                     20,                0.33313,                0.29873,                0.92704,                0.97678,                0.97957,                0.99408,                0.96948,                0.24202,                 0.2134,                0.84001,              0.0001693,              0.0001693,              0.0001693
                     21,                0.23513,                0.22911,                0.86034,                0.97823,                0.97618,                0.99162,                0.96528,                 0.2609,                0.21778,                0.84702,             0.00015554,             0.00015554,             0.00015554
                     22,                0.22319,                0.22019,                0.84823,                  0.977,                0.99306,                0.99462,                 0.9705,                0.23551,                0.20514,                0.83107,             0.00014178,             0.00014178,             0.00014178
                     23,                0.21952,                0.21101,                0.84432,                0.98075,                0.99288,                0.99329,                0.97261,                 0.2296,                0.19917,                0.83079,             0.00012802,             0.00012802,             0.00012802
                     24,                0.21474,                 0.2037,                0.83965,                0.97987,                0.99244,                0.99448,                 0.9771,                0.21787,                0.18866,                0.82269,             0.00011426,             0.00011426,             0.00011426
                     25,                 0.2015,                0.19824,                0.84077,                0.98416,                0.98669,                0.99389,                0.97286,                0.21502,                0.18635,                 0.8235,              0.0001005,              0.0001005,              0.0001005
                     26,                0.19368,                0.18489,                0.83308,                0.98138,                0.99129,                0.99457,                0.97978,                0.20742,                0.17847,                0.81733,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     27,                0.18492,                0.18112,                 0.8276,                0.98196,                0.99241,                0.99455,                0.97819,                0.20112,                0.17123,                0.81693,             7.2975e-05,             7.2975e-05,             7.2975e-05
                     28,                0.17786,                   0.17,                0.82587,                0.97429,                0.99264,                0.99427,                0.98102,                0.19289,                0.17076,                0.81308,             5.9214e-05,             5.9214e-05,             5.9214e-05
                     29,                0.17107,                0.16906,                0.82692,                0.98312,                0.98846,                0.99436,                0.98052,                0.18966,                0.16134,                0.80952,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     30,                0.16683,                0.16133,                0.81928,                0.98484,                0.98654,                0.99441,                0.98154,                0.18585,                0.16217,                0.80943,             3.1692e-05,             3.1692e-05,             3.1692e-05
