                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41309,                 0.5772,                0.96536,                 0.8777,                0.91448,                0.97623,                0.87973,                0.38072,                0.56141,                 0.9219,             0.00013778,             0.00013778,             0.00013778
                      2,                 0.4957,                0.71112,                 1.0074,                0.88747,                0.88022,                0.94299,                0.86636,                0.40499,                0.65954,                 0.9339,             0.00026308,             0.00026308,             0.00026308
                      3,                0.56834,                0.78131,                   1.04,                0.80307,                0.70972,                0.81633,                0.67887,                0.66888,                 1.3366,                 1.2027,             0.00037462,             0.00037462,             0.00037462
                      4,                0.55806,                0.72085,                 1.0343,                 0.8647,                0.75457,                0.89336,                0.75406,                0.62092,                0.87877,                 1.1365,             0.00035508,             0.00035508,             0.00035508
                      5,                0.56824,                0.67005,                 1.0322,                0.87526,                0.85603,                0.93452,                0.84101,                0.44387,                0.62915,                0.96783,             0.00035508,             0.00035508,             0.00035508
                      6,                0.51306,                0.61255,                 1.0092,                0.94098,                 0.8887,                 0.9771,                0.90825,                0.36752,                0.45656,                0.90701,             0.00033443,             0.00033443,             0.00033443
                      7,                0.49088,                0.54351,                0.98915,                0.97222,                0.94738,                0.98653,                0.93086,                0.33982,                0.33364,                0.89665,             0.00031379,             0.00031379,             0.00031379
                      8,                0.49106,                0.51846,                0.99138,                0.93652,                0.93216,                0.97489,                0.91613,                0.34011,                0.38067,                0.90601,             0.00029315,             0.00029315,             0.00029315
                      9,                0.45983,                0.45372,                0.98089,                 0.9597,                0.97851,                0.99215,                0.94358,                0.30654,                0.28052,                0.86819,             0.00027251,             0.00027251,             0.00027251
                     10,                0.44981,                0.45565,                0.98013,                0.96055,                0.97274,                0.98847,                0.94551,                0.29097,                0.28165,                0.86326,             0.00025187,             0.00025187,             0.00025187
                     11,                0.30906,                0.34453,                0.89048,                 0.9457,                0.92648,                0.98477,                0.93889,                0.30831,                0.39436,                 0.8707,             0.00023123,             0.00023123,             0.00023123
                     12,                0.29911,                0.32096,                0.87957,                0.95914,                0.92873,                0.98518,                0.91716,                 0.3441,                0.36099,                0.90733,             0.00021059,             0.00021059,             0.00021059
                     13,                0.28685,                0.31121,                0.88176,                0.95281,                0.96985,                0.99096,                0.96003,                0.25217,                0.25054,                0.83381,             0.00018994,             0.00018994,             0.00018994
                     14,                 0.2602,                0.27034,                0.86244,                0.95764,                0.98579,                0.99234,                0.95878,                0.27462,                0.26928,                0.84474,              0.0001693,              0.0001693,              0.0001693
                     15,                0.25061,                0.24896,                0.85322,                0.96553,                0.98776,                0.99405,                0.96943,                 0.2388,                0.21158,                0.82524,             0.00014866,             0.00014866,             0.00014866
                     16,                0.23139,                0.22934,                 0.8426,                 0.9831,                0.97482,                0.99321,                0.97248,                0.21382,                0.18943,                0.81264,             0.00012802,             0.00012802,             0.00012802
                     17,                0.21771,                0.21181,                0.83779,                0.97518,                0.98469,                0.99416,                0.97337,                0.20265,                0.19168,                0.81106,             0.00010738,             0.00010738,             0.00010738
                     18,                0.20815,                0.19794,                0.83681,                0.98214,                0.97861,                 0.9939,                0.97867,                0.19269,                0.16958,                0.80187,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     19,                 0.1904,                0.18845,                 0.8262,                0.98457,                0.98612,                0.99378,                0.97678,                0.18576,                0.16024,                0.79921,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     20,                 0.1803,                 0.1775,                0.82724,                0.97769,                0.99401,                0.99416,                0.97878,                0.18049,                0.15996,                0.80216,             4.5453e-05,             4.5453e-05,             4.5453e-05
