                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54517,                 1.8814,                  1.076,                0.88601,                 0.9065,                0.93808,                0.85358,                0.40406,                 0.7335,                0.96583,             0.00013778,             0.00013778,             0.00013778
                      2,                0.51479,                0.84288,                  1.008,                0.87457,                0.92213,                0.96088,                0.85947,                0.44607,                0.62755,                0.97427,             0.00025851,             0.00025851,             0.00025851
                      3,                0.54025,                0.76869,                  1.017,                0.89613,                0.95649,                 0.9764,                0.88957,                0.41843,                0.55601,                 0.9529,              0.0003609,              0.0003609,              0.0003609
                      4,                0.52726,                0.68499,                 1.0153,                0.83843,                0.88676,                0.93393,                0.83773,                0.43562,                0.70245,                0.96948,             0.00033443,             0.00033443,             0.00033443
                      5,                0.52009,                0.64025,                 1.0135,                0.92223,                 0.9566,                0.98483,                0.92291,                0.36673,                 0.4291,                0.91424,             0.00033443,             0.00033443,             0.00033443
                      6,                0.37698,                0.51176,                0.93309,                0.84633,                0.95143,                0.96743,                0.88812,                  0.408,                0.54489,                0.94597,             0.00030691,             0.00030691,             0.00030691
                      7,                0.35114,                0.44608,                0.90874,                0.90857,                0.97148,                0.98264,                0.92419,                 0.3331,                 0.3796,                0.89286,             0.00027939,             0.00027939,             0.00027939
                      8,                0.31495,                0.37762,                0.88824,                0.97004,                0.96718,                0.99099,                0.94376,                0.30944,                0.31667,                0.86895,             0.00025187,             0.00025187,             0.00025187
                      9,                0.29813,                0.34136,                0.87743,                0.94936,                0.96861,                0.99108,                0.95577,                0.27778,                0.29087,                0.85088,             0.00022435,             0.00022435,             0.00022435
                     10,                0.27109,                0.29283,                0.86797,                0.96514,                0.98365,                0.99158,                0.96026,                 0.2658,                0.26004,                   0.84,             0.00019682,             0.00019682,             0.00019682
                     11,                0.26037,                0.27738,                0.85877,                0.97486,                0.97077,                0.99139,                0.96571,                0.24563,                0.23601,                0.83069,              0.0001693,              0.0001693,              0.0001693
                     12,                0.23946,                0.24663,                0.85025,                0.97785,                 0.9813,                0.99372,                0.96892,                0.23104,                0.21206,                0.82477,             0.00014178,             0.00014178,             0.00014178
                     13,                0.22981,                0.22952,                0.84506,                0.97726,                0.98959,                0.99438,                0.97614,                0.20961,                0.19442,                0.81457,             0.00011426,             0.00011426,             0.00011426
                     14,                0.21454,                0.20999,                0.83322,                0.97898,                0.97901,                0.99402,                0.97561,                0.20864,                0.18652,                0.81458,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     15,                0.19614,                0.19533,                0.82762,                0.98357,                0.98122,                0.99446,                0.97954,                0.19362,                0.17311,                0.80606,             5.9214e-05,             5.9214e-05,             5.9214e-05
